No,Precision,Recall,F-Measure,Safety,Mandatory,Optional,XORs,ORs,Requires,Excludes,NLeaf,NTop,FoC,Deep
1,1.0,1.0,1.0,1.0,4,6,0,0,0,2,6,2,0.5454545454545454,6
2,1.0,1.0,1.0,1.0,5,5,0,0,0,0,6,2,0.45454545454545453,6
3,1.0,1.0,1.0,1.0,4,6,0,0,2,0,6,2,0.5454545454545454,6
4,1.0,1.0,1.0,1.0,1,9,0,0,2,1,5,2,0.8181818181818182,6
5,1.0,1.0,1.0,1.0,1,9,0,0,0,6,3,2,0.8181818181818182,9
6,1.0,1.0,1.0,1.0,1,9,0,0,3,0,4,2,0.8181818181818182,6
7,1.0,1.0,1.0,1.0,0,10,0,0,3,1,4,2,0.9090909090909091,7
8,1.0,1.0,1.0,1.0,1,9,0,0,2,0,4,2,0.8181818181818182,7
9,1.0,1.0,1.0,1.0,0,10,0,0,6,8,5,3,0.9090909090909091,6
10,1.0,1.0,1.0,1.0,11,14,0,0,2,0,13,3,0.5384615384615384,14
11,1.0,1.0,1.0,1.0,9,16,0,0,3,5,13,3,0.6153846153846154,13
12,1.0,1.0,1.0,1.0,12,13,0,0,1,0,13,4,0.5,14
13,1.0,1.0,1.0,1.0,1,24,0,0,5,0,6,2,0.9230769230769231,19
14,1.0,1.0,1.0,1.0,1,24,0,0,2,5,5,2,0.9230769230769231,20
15,1.0,1.0,1.0,1.0,0,25,0,0,7,4,6,2,0.9615384615384616,12
16,1.0,1.0,1.0,1.0,0,25,0,0,6,0,5,2,0.9615384615384616,19
17,1.0,1.0,1.0,1.0,1,24,0,0,3,5,6,2,0.9230769230769231,18
18,1.0,1.0,1.0,1.0,0,25,0,0,6,3,7,2,0.9615384615384616,16
